name,rating,price,amazon_link,image_link,max_cooler_height,radiator_size,gpu_length,form_factor,psu_length,pcie_slots
Corsair 4000D Airflow ATX Mid Tower Case,4.7,104.9,https://www.amazon.com/dp/B08C7BGV3D?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg,0,0,360,ATX/EATX/Micro-ATX/Mini-ITX,0,7
NZXT H5 Flow (2022) ATX Mid Tower Case,4.6,79.9,https://www.amazon.com/dp/B0B6Y15C5L?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,null,0,0,365,ATX/EATX/Micro-ATX/Mini-ITX,0,7
Deepcool CC560 ATX Mid Tower Case,4.5,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/eacaf9e3a9f012060fbd0a98f4e22511.256p.jpg,0,0,370,ATX/Micro-ATX/Mini-ITX,0,7
Lian Li O11 Dynamic EVO ATX Mid Tower Case,4.8,254.9,https://www.amazon.com/dp/B09QMLS87T?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ea0dee3c3376cc6326ca2f4a73a054ac.256p.jpg,0,0,422,ATX/EATX/Micro-ATX/Mini-ITX,0,8
Lian Li O11 Dynamic EVO ATX Mid Tower Case,4.8,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/ea0dee3c3376cc6326ca2f4a73a054ac.256p.jpg,0,0,422,ATX/EATX/Micro-ATX/Mini-ITX,0,8
NZXT H5 Flow (2022) ATX Mid Tower Case,4.7,69.9,https://www.amazon.com/dp/B0B6YHDB2Y?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,null,0,0,365,ATX/EATX/Micro-ATX/Mini-ITX,0,7
NZXT H9 Flow ATX Mid Tower Case,4.9,159.9,https://www.amazon.com/dp/B0BG1GQKKY?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/61eb5534e35ce8af07f25ff28197862b.256p.jpg,0,0,435,ATX/Micro-ATX/Mini-ITX,0,7
Corsair iCUE 4000X RGB ATX Mid Tower Case,4.7,144.9,https://www.amazon.com/dp/B08C788312?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/0610d363ccccf52837f07d811e4eb2a3.256p.jpg,0,0,360,ATX/Micro-ATX/Mini-ITX,0,7
Fractal Design North ATX Mid Tower Case,4.9,139.9,https://www.bhphotovideo.com/c/product/1752177-REG/fractal_design_fd_c_nor1c_02_north_mid_tower_atx_case.html/BI/19488/KBID/11704,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg,0,0,300,ATX/Micro-ATX/Mini-ITX,0,7
Lian Li LANCOOL 216 RGB ATX Mid Tower Case,4.8,89.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fblack-lian-li-lancool-atx-mid-tower%2Fp%2F2AM-000Z-000A8,null,0,0,392,ATX/EATX/Micro-ATX/Mini-ITX,0,7
